residence(area),workplace(area),#categories,WorkAtHome,Underground,Train,Bus,Taxi,Other method,F10,F11,F12,F13,F14
E02000001,E02000001,1506,0,73,41,32,9,1,8,1,33,1304,4
E02000001,E02000014,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000016,3,0,1,0,2,0,0,0,0,0,0,0
E02000001,E02000025,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000028,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000051,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000053,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000057,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000058,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000059,1,0,0,0,0,1,0,0,0,0,0,0
E02000001,E02000061,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02000078,1,0,0,1,0,0,0,0,0,0,0,0