name,total,male,female
Beijing,371,185,186
Tianjin,646,324,322
Hebei,1166,562,604
Shanxi,117,60,57
Mongolia,78,40,38
Liaoning,613,327,286
Jilin,165,80,85
Heilongjiang,159,80,79
Shanghai,922,468,454
Jiangsu,5204,2506,2698
Zhejiang,4174,1992,2182
Anhui,1618,738,880
Fujian,2442,1152,1290
Jiangxi,1035,499,536
Shandong,3715,1837,1878
Henan,1782,844,938
Hubei,933,443,490
Hunan,2737,1349,1388
Guangdong,6993,3518,3475
Guangxi,536,268,268
Hainan,13,6,7
Chongqing,352,163,189
Sichuan,721,350,371
Guizhou,119,49,70
Yunnan,168,81,87
Tibet,11,5,6
Shaanxi,181,78,103
Gansu,52,25,27
Qinghai,32,16,16
Ningxia,27,11,16
Sinkiang,43,20,23
HongKong,0,0,0
Macao,0,0,0
Taiwan,0,0,0